P1,P2,P3,Fx,Fy,Fz,thetaX,thetaY,d,X,Y,Z
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.03120993,0.023795974,0.000735471,0.005459038,0.009262129,0.169674199
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.030535707,0.021449598,0.000653904,0.004954089,0.009230535,0.16933784
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.030008774,0.01944904,0.000585248,0.004547286,0.009215457,0.169056138
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.029528672,0.017739441,0.000526801,0.004217878,0.009211901,0.168819988
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.029154617,0.016338788,0.000478457,0.003949704,0.00921618,0.168621706
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.028863955,0.015193329,0.000438427,0.003730145,0.009225599,0.168454859
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.028647795,0.014337711,0.000406047,0.003549321,0.009238206,0.168314095
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.02847944,0.013625004,0.00037897,0.003399472,0.009252606,0.168194981
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.028316163,0.013070278,0.000354767,0.003274491,0.009267811,0.168093852
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.02818012,0.012611337,0.000334057,0.003169554,0.009283142,0.168007687
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.028074669,0.012217872,0.000317003,0.003080844,0.00929814,0.167933995
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.027993299,0.011877961,0.000302961,0.003005333,0.009312509,0.167870723
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.027927574,0.011586431,0.00029093,0.002940612,0.009326072,0.16781618
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.027874118,0.011334861,0.00028057,0.002884758,0.009338732,0.16776897
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.027830306,0.011116445,0.000271604,0.002836234,0.009350453,0.167727941
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.027794112,0.0109257,0.000263807,0.002793807,0.009361238,0.16769214
-19056.61555,-15649.21996,-11039.08688,3.333333333,29.6969697,3.03030303,-0.027763953,0.010758176,0.000256995,0.002756483,0.009371118,0.167660777
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.0277386,0.010610272,0.000251016,0.002723459,0.009380139,0.167633196
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.042650867,0.012563245,0.000747596,0.002700267,0.012677771,0.168933604
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.057766493,0.012891093,0.001196002,0.002680304,0.015938307,0.16990651
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.06998105,0.013390419,0.001568488,0.002677094,0.018825668,0.17062612
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.0808472,0.012896538,0.001975533,0.002700254,0.021336536,0.1711681
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.08861396,0.012775952,0.002323217,0.002753833,0.023520028,0.171583443
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.0952376,0.012825094,0.00261523,0.002837426,0.025427434,0.171906378
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.10074873,0.012956259,0.002848033,0.002947803,0.027102746,0.172160289
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.10553724,0.01320086,0.003043903,0.003080329,0.02858188,0.172361499
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.10977854,0.013549724,0.003213275,0.003229948,0.029893791,0.172521678
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.11355051,0.013978968,0.003360625,0.003391787,0.03106186,0.172649379
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.11691612,0.014466934,0.003489414,0.003561464,0.032105116,0.17275102
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.11992699,0.014994879,0.003602371,0.003735217,0.033039238,0.172831536
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.122626,0.015547106,0.003701702,0.003909929,0.033877308,0.172894793
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.1250493,0.016110757,0.003789217,0.004083087,0.034630382,0.172943881
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.12722777,0.016675541,0.003866431,0.004252719,0.035307918,0.172981298
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.12923329,0.01722158,0.003936706,0.004417323,0.035918088,0.173009094
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.13104902,0.01775317,0.003999295,0.004575791,0.036468014,0.173028964
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.13268676,0.018267926,0.004054753,0.004727344,0.036963952,0.173042318
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.13416457,0.018762523,0.004103907,0.004871474,0.037411423,0.173050336
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.13549858,0.019234655,0.004147483,0.005007887,0.037815327,0.173054009
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.13670303,0.019682866,0.004186118,0.005136462,0.038180026,0.173054169
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.1377908,0.020106368,0.004220374,0.005257214,0.038509416,0.173051515
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.13877335,0.020504914,0.004250749,0.005370262,0.038806984,0.173046636
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.139661,0.020878635,0.00427768,0.005475804,0.039075858,0.173040026
27632.73105,-15834.24271,-9164.228649,9.696969696,25.45454546,5.757575757,-0.14046302,0.021228028,0.004301557,0.005574095,0.039318846,0.173032097
