Pressure1,Pressure2,Pressure3,predicted_position1,predicted_position2,predicted_position3
18,10,-20,-0.03596838,-0.040453117,0.17679791
20,10,-20,-0.037850652,-0.040699705,0.17666396
22,10,-20,-0.039785337,-0.0407743,0.17644216
24,10,-20,-0.041750375,-0.040668674,0.17617033
26,10,-20,-0.04362848,-0.04054212,0.17588598
28,10,-20,-0.04512897,-0.040496226,0.17557433
30,10,-20,-0.046635665,-0.04039301,0.1752994
32,10,-20,-0.048212085,-0.040332384,0.17491072
34,10,-20,-0.049720485,-0.040076587,0.17454809
-20,12,-20,0.024411796,-0.040457446,0.16368964
-18,12,-20,0.020727001,-0.040858794,0.16524602
-16,12,-20,0.016639516,-0.04129519,0.16696528
-14,12,-20,0.012522179,-0.041704424,0.16847935
-12,12,-20,0.008437028,-0.041993707,0.16990308
-10,12,-20,0.004201395,-0.042270876,0.17129196
-8,12,-20,0.000295264,-0.042499796,0.17218576
-6,12,-20,-0.003441642,-0.04265409,0.1729388
-4,12,-20,-0.006859231,-0.042565357,0.17361853
-2,12,-20,-0.010055559,-0.04231019,0.17411946
0,12,-20,-0.013218587,-0.042061493,0.17460552
2,12,-20,-0.016295776,-0.041820135,0.17507093
4,12,-20,-0.019368097,-0.041645147,0.17554115
6,12,-20,-0.022489121,-0.041438192,0.17600678
8,12,-20,-0.025368813,-0.041324638,0.17635363
10,12,-20,-0.027514366,-0.041484497,0.17648476
12,12,-20,-0.0294654,-0.041665047,0.17661168
14,12,-20,-0.031383492,-0.041814283,0.17673427
16,12,-20,-0.033195622,-0.042009737,0.17689596
18,12,-20,-0.035179798,-0.04226845,0.17680357
20,12,-20,-0.037110317,-0.042585865,0.17659143
22,12,-20,-0.038913954,-0.04290498,0.1763773
24,12,-20,-0.040766258,-0.043081313,0.1761659
26,12,-20,-0.042669754,-0.042962335,0.1758903
28,12,-20,-0.044285104,-0.04285074,0.17559527
30,12,-20,-0.04585662,-0.04278361,0.1752987
32,12,-20,-0.047424126,-0.04266815,0.17499046
34,12,-20,-0.048910107,-0.042349573,0.17470787
-20,14,-20,0.025047347,-0.04227746,0.1630247
-18,14,-20,0.021254733,-0.042723518,0.16462168
-16,14,-20,0.017162655,-0.043236487,0.1663209
-14,14,-20,0.013058422,-0.04375002,0.16787086
