P1,P2,P3,thetaX,thetaY,d,pred_x,pred_y,pred_z
263.2,6052.6,-20000,0,0,0,2.40E-11,3.22E-11,0.169993802
3157.9,6052.6,-20000,0,0,0,2.67E-11,3.58E-11,0.169993802
6052.6,6052.6,-20000,0,0,0,2.88E-11,3.86E-11,0.169993802
8947.4,6052.6,-20000,-0.031766098,-0.069974671,0.002266892,-0.013525611,0.008024867,0.174228474
11842.1,6052.6,-20000,-0.039985762,-0.069079804,0.002530348,-0.013461976,0.010160006,0.174743277
14736.8,6052.6,-20000,-0.04871742,-0.067861878,0.002822045,-0.013343614,0.012456618,0.17525822
17631.6,6052.6,-20000,-0.058279756,-0.06683796,0.003305957,-0.013335849,0.015057508,0.176191068
20526.3,6052.6,-20000,-0.09365029,-0.025123325,0.003574661,-0.005061201,0.024332863,0.175682288
23421.1,6052.6,-20000,-0.078817123,-0.061573642,0.00390469,-0.01250779,0.020604842,0.176709985
26315.8,6052.6,-20000,-0.102264408,-0.033100275,0.004202805,-0.006790114,0.026893532,0.176412544
29210.5,6052.6,-20000,-0.102937193,-0.053875606,0.00488531,-0.011260776,0.027422377,0.177562477
32105.3,6052.6,-20000,-0.116485217,-0.048452673,0.005482492,-0.010300096,0.031373329,0.177904232
35000,6052.6,-20000,-0.130960127,-0.041528783,0.006179959,-0.009000508,0.035713184,0.178214401
-20000,8947.4,-20000,-0.108053508,0.057042097,0.008184327,0.013041671,0.030860688,0.186374198
-17105.3,8947.4,-20000,0,0,0,2.74E-12,3.67E-12,0.169993802
-14210.5,8947.4,-20000,0.03079822,-0.082884253,0.001080141,-0.015418133,-0.007543079,0.169953139
-11315.8,8947.4,-20000,0,0,0,1.19E-12,1.60E-12,0.169993802
-8421.1,8947.4,-20000,0,0,0,9.21E-12,1.23E-11,0.169993802
-5526.3,8947.4,-20000,0,0,0,1.53E-11,2.06E-11,0.169993802
-2631.6,8947.4,-20000,0,0,0,2.02E-11,2.71E-11,0.169993802
263.2,8947.4,-20000,0,0,0,2.35E-11,3.15E-11,0.169993802
3157.9,8947.4,-20000,0,0,0,2.57E-11,3.45E-11,0.169993802
6052.6,8947.4,-20000,0,0,0,2.78E-11,3.73E-11,0.169993802
8947.4,8947.4,-20000,0,0,0,2.93E-11,3.92E-11,0.169993802
11842.1,8947.4,-20000,-0.055588661,-0.028663814,0.002159629,-0.005532603,0.014049813,0.174478499
14736.8,8947.4,-20000,-0.079555545,-0.037873281,0.002710954,-0.007431958,0.02028876,0.174122819
17631.6,8947.4,-20000,-0.053146498,-0.074123507,0.003403525,-0.014825534,0.013752246,0.176357575
20526.3,8947.4,-20000,-0.063218129,-0.071903526,0.003749097,-0.014531243,0.016476167,0.176874951
23421.1,8947.4,-20000,-0.073982748,-0.069409592,0.004143202,-0.014191683,0.019435432,0.177377269
26315.8,8947.4,-20000,-0.085635816,-0.065988473,0.004588392,-0.013668883,0.022694805,0.177861804
29210.5,8947.4,-20000,-0.09935966,-0.061596242,0.005123155,-0.012956603,0.02659904,0.178270035
32105.3,8947.4,-20000,-0.128998002,-0.042109961,0.005832279,-0.009039511,0.034928172,0.177475913
35000,8947.4,-20000,-0.126565034,-0.049516346,0.006360228,-0.010781834,0.034657048,0.179042132
-20000,11842.1,-20000,-0.142191709,-0.041308905,0.007127702,-0.009182686,0.039452173,0.179240188
-17105.3,11842.1,-20000,0,0,0,5.53E-12,7.42E-12,0.169993802
-14210.5,11842.1,-20000,0,0,0,4.58E-14,6.14E-14,0.169993802
-11315.8,11842.1,-20000,0,0,0,3.55E-12,4.76E-12,0.169993802
-8421.1,11842.1,-20000,0,0,0,1.09E-11,1.46E-11,0.169993802
-5526.3,11842.1,-20000,0,0,0,1.62E-11,2.18E-11,0.169993802
-2631.6,11842.1,-20000,0,0,0,2.01E-11,2.69E-11,0.169993802
263.2,11842.1,-20000,0,0,0,2.24E-11,3.01E-11,0.169993802
3157.9,11842.1,-20000,0,0,0,2.50E-11,3.35E-11,0.169993802
6052.6,11842.1,-20000,0,0,0,2.70E-11,3.62E-11,0.169993802
8947.4,11842.1,-20000,0,0,0,2.84E-11,3.81E-11,0.169993802
11842.1,11842.1,-20000,-0.029562324,-0.084769064,0.003121439,-0.01679949,0.007598429,0.175872939
14736.8,11842.1,-20000,-0.037861735,-0.085209058,0.003403944,-0.017029174,0.009789004,0.176370811
17631.6,11842.1,-20000,-0.047645048,-0.081988225,0.003697583,-0.01653283,0.012399936,0.17700689
20526.3,11842.1,-20000,-0.05781567,-0.080099917,0.004020275,-0.016307685,0.015147676,0.17750073
23421.1,11842.1,-20000,-0.068591471,-0.077290594,0.004402225,-0.015913928,0.0181124,0.178064886
26315.8,11842.1,-20000,-0.080377706,-0.074157754,0.004819662,-0.015455205,0.021399551,0.178527053
29210.5,11842.1,-20000,-0.097270479,-0.067089361,0.005387913,-0.014213154,0.026180018,0.178962255
32105.3,11842.1,-20000,-0.16010918,-0.071999819,0.008167469,-0.016404587,0.044949386,0.177684176
35000,11842.1,-20000,-0.121460123,-0.057524562,0.006548458,-0.012585851,0.033400472,0.1799121
-20000,14736.8,-20000,-0.084448782,-0.02481623,0.006392055,-0.005418973,0.023407066,0.18487079
-17105.3,14736.8,-20000,0,0,0,7.62E-12,1.02E-11,0.169993802
-14210.5,14736.8,-20000,0,0,0,9.42E-13,1.26E-12,0.169993802
-11315.8,14736.8,-20000,0,0,0,5.48E-12,7.35E-12,0.169993802
-8421.1,14736.8,-20000,0,0,0,1.18E-11,1.58E-11,0.169993802
-5526.3,14736.8,-20000,0,0,0,1.64E-11,2.20E-11,0.169993802
-2631.6,14736.8,-20000,0,0,0,1.97E-11,2.64E-11,0.169993802
263.2,14736.8,-20000,0,0,0,2.21E-11,2.97E-11,0.169993802
3157.9,14736.8,-20000,0,0,0,2.43E-11,3.26E-11,0.169993802
6052.6,14736.8,-20000,0,0,0,2.62E-11,3.51E-11,0.169993802
8947.4,14736.8,-20000,0,0,0,2.75E-11,3.69E-11,0.169993802
11842.1,14736.8,-20000,0,0,0,2.89E-11,3.87E-11,0.169993802
14736.8,14736.8,-20000,-0.063290881,-0.034230177,0.003128684,-0.006804548,0.016343424,0.176716104
17631.6,14736.8,-20000,-0.041732439,-0.089945999,0.004004127,-0.018289843,0.010924183,0.177616752
20526.3,14736.8,-20000,-0.051753789,-0.087948107,0.004326903,-0.018054941,0.013640204,0.178202751
23421.1,14736.8,-20000,-0.062580506,-0.085352685,0.004688338,-0.017708497,0.016617107,0.178775033
26315.8,14736.8,-20000,-0.074349865,-0.08200492,0.005100574,-0.017218192,0.019906458,0.179334279
29210.5,14736.8,-20000,-0.087044584,-0.077759142,0.005572557,-0.01654835,0.02352135,0.179872184
32105.3,14736.8,-20000,-0.100827951,-0.072438542,0.006119189,-0.015654687,0.027529457,0.180372424
35000,14736.8,-20000,-0.115872754,-0.065897099,0.0067588,-0.014494051,0.032008503,0.180803871
-20000,17631.6,-20000,-0.132041205,-0.057173221,0.007498617,-0.012828458,0.036954466,0.181163488
-17105.3,17631.6,-20000,0,0,0,9.33E-12,1.25E-11,0.169993802
-14210.5,17631.6,-20000,0,0,0,2.45E-12,3.29E-12,0.169993802
-11315.8,17631.6,-20000,0,0,0,6.44E-12,8.64E-12,0.169993802
-8421.1,17631.6,-20000,0,0,0,1.21E-11,1.62E-11,0.169993802
-5526.3,17631.6,-20000,0,0,0,1.63E-11,2.19E-11,0.169993802
-2631.6,17631.6,-20000,0,0,0,1.93E-11,2.59E-11,0.169993802
263.2,17631.6,-20000,0,0,0,2.16E-11,2.90E-11,0.169993802
3157.9,17631.6,-20000,0,0,0,2.36E-11,3.17E-11,0.169993802
6052.6,17631.6,-20000,0,0,0,2.52E-11,3.38E-11,0.169993802
8947.4,17631.6,-20000,0,0,0,2.67E-11,3.58E-11,0.169993802
11842.1,17631.6,-20000,0,0,0,2.79E-11,3.74E-11,0.169993802
14736.8,17631.6,-20000,0,0,0,2.92E-11,3.92E-11,0.169993802
17631.6,17631.6,-20000,-0.03491251,-0.098145235,0.004357064,-0.020148215,0.009198988,0.178282091
20526.3,17631.6,-20000,-0.070431191,-0.033949242,0.004673518,-0.007062838,0.018823849,0.180775191
23421.1,17631.6,-20000,-0.055973522,-0.093563815,0.005004673,-0.019574558,0.014951667,0.179500924
26315.8,17631.6,-20000,-0.067797319,-0.090242329,0.00539988,-0.019095807,0.018256527,0.18011009
29210.5,17631.6,-20000,-0.136724145,-0.078871234,0.005986944,-0.01695771,0.036853541,0.174918217
